<, 6> 
<abilities, 3> 
<ability, 3> 
<able, 3> 
<abode, 2> 
<above, 5> 
<abroad, 1> 
<absolute, 2> 
<acceptance, 3> 
<account, 1> 
<active, 2> 
<acuteness, 1> 
<adapted, 1> 
<add, 14> 
<addition, 2> 
<additions, 1> 
<adieus, 4> 
<admiration, 7> 
<admire, 2> 
<admitted, 1> 
<admitting, 1> 
<advanced, 1> 
<advantage, 2> 
<advantages, 4> 
<advice, 3> 
<affixed, 1> 
<afford, 4> 
<affronting, 2> 
<afraid, 5> 
<after, 5> 
<again, 2> 
<against, 1> 
<age, 10> 
<agreeable, 4> 
<agreed, 2> 
<agreement, 3> 
<all, 11> 
<allow, 3> 
<allowance, 4> 
<alone, 4> 
<alteration, 7> 
<although, 2> 
<always, 2> 
<am, 16> 
<amiable, 2> 
<among, 4> 
<amounted, 1> 
<ample, 1> 
<an, 46> 
<and, 30> 
<announcing, 4> 
<another, 1> 
<answer, 1> 
<answered, 6> 
<anxious, 1> 
<any, 14> 
<apartments, 3> 
<appear, 4> 
<appearance, 3> 
<appetite, 1> 
<applauded, 3> 
<are, 11> 
<arise, 1> 
<arose, 3> 
<arranging, 4> 
<arrived, 4> 
<article, 1> 
<as, 47> 
<ashamed, 1> 
<ask, 11> 
<asked, 4> 
<assistance, 3> 
<assurance, 3> 
<assure, 1> 
<assured, 5> 
<astonished, 3> 
<at, 39> 
<attachment, 5> 
<attacks, 3> 
<attempt, 2> 
<attempted, 2> 
<attended, 1> 
<attention, 2> 
<avoid, 1> 
<aware, 5> 
<away, 2> 
<bachelor, 5> 
<balls, 3> 
<barton, 2> 
<basket, 2> 
<be, 39> 
<because, 1> 
<bed, 8> 
<been, 2> 
<before, 3> 
<begin, 1> 
<behaved, 3> 
<behaviour, 5> 
<behind, 2> 
<being, 4> 
<believe, 3> 
<believed, 3> 
<believing, 2> 
<belonging, 3> 
<beloved, 2> 
<besides, 2> 
<betrayed, 1> 
<better, 1> 
<between, 4> 
<blessing, 3> 
<blind, 1> 
<blush, 1> 
<blushes, 1> 
<body, 1> 
<boisterous, 6> 
<books, 2> 
<bore, 2> 
<boy, 8> 
<branch, 6> 
<branched, 1> 
<brandon, 1> 
